Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,COM,1.01,1.08,1.15,1.22,1.29,1.36,1.44,1.52,1.61,1.7,1.8,1.9,2,2.13,2.27,2.41,2.57,2.67,2.78,2.91,3.07,3.21,3.35,3.53,3.68,3.83,3.99
Congo,COG,23.86,24.86,26.14,27.46,29.61,31.17,32.88,35.22,36,36.82,37.87,38.64,39.22,40.14,41.09,42.07,43.19,44.4,45.71,47.45,49.43,51.69,54.66,57.75,60.84,64.03,67.3
Cook Islands,COK,0.53,0.57,0.61,0.65,0.69,0.73,0.78,0.83,0.88,0.93,0.98,1.01,1.04,1.07,1.12,1.18,1.25,1.32,1.39,1.46,1.53,1.6,1.67,1.74,1.81,1.88,1.96
Costa Rica,CRI,59.97091,63.30091,67.09091,71.04091,76.31091,81.17091,85.91091,90.89091,96.20091,101.72091,107.19091,112.95091,119.27091,125.89091,132.81091,139.67091,146.76091,154.88091,163.00091,170.90091,178.46091,186.19091,193.95091,201.54091,209.29091,217.34091,225.51091
Cote d'Ivoire,CIV,119.64912,124.20912,128.30912,133.64912,138.32912,144.93912,152.76912,160.32912,167.23912,173.49912,180.28912,188.00912,195.28912,200.74912,208.40912,216.22912,223.21912,229.98912,236.75912,242.40912,249.36912,256.60912,265.89912,276.57912,287.61912,299.41912,311.26912
Croatia,HRV,445.54,462.81,479.42,496.5,512.84,529.83,547.42,566.09,585.46,605.68,625.47,646.41,668.44,691.8,714.81,738.26,761.94,786.96,810.71,832.68,853.88,874.64,893.81,912.34,930.12,948.04,966.41
Cuba,CUB,855.00462,884.69462,915.96462,945.32462,977.54462,1003.23462,1030.20462,1054.83462,1079.31462,1104.62462,1130.68462,1156.11462,1182.18462,1207.64462,1232.62462,1258.61462,1285.99462,1312.76462,1343.18462,1373.05462,1411.39462,1447.35462,1483.48462,1518.25462,1553.06462,1589.25462,1625.97462
Curacao,CUW,289.39,293.09,296.14,300.85,305.37,309.84,314.02,318.4,318.64,320.45,325.25,330.14,334.85,339.57,344.52,349.43,354.54,360.3,365.84,371.5,375.4,380.38,386.37,391.58,397.46,403.59,409.82
Cyprus,CYP,79.70932,84.81932,90.29932,96.02932,102.00932,107.85932,114.01932,120.30932,126.88932,133.73932,140.83932,147.80932,154.96932,162.51932,170.29932,178.25932,186.40932,194.86932,203.48932,211.85932,219.85932,227.55932,234.71932,241.20932,248.08932,254.94932,262.01932
Czech Republic,CZE,5005.77,5151.81,5293.36,5428.93,5558.09,5687.83,5820.03,5948.87,6072.52,6187.94,6313.73,6439.22,6561.76,6687.85,6814.69,6939.25,7065.14,7192.54,7314.86,7429.54,7545.7,7659.74,7770.36,7877.46,7980.26,8084.03,8189.14
Czechoslovakia,OWID_CZS,11058.87339,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727,11259.85727
Democratic Republic of Congo,COD,130.77718,133.73718,136.54718,139.13718,140.77718,142.89718,145.21718,147.11718,148.78718,150.16718,150.97718,151.81718,152.74718,153.73718,154.93718,156.43718,158.04718,159.80718,161.66718,163.41718,165.43718,167.92718,170.32718,173.91718,178.58718,183.28718,188.16718
Denmark,DNK,2556.48094,2621.30094,2680.30094,2741.49094,2806.69094,2868.84094,2944.30094,3010.37094,3072.18094,3131.41094,3186.37094,3242.86094,3298.98094,3360.26094,3416.00094,3468.17094,3528.26094,3583.56094,3635.44094,3684.85094,3734.70094,3779.59094,3819.82094,3862.01094,3899.98094,3935.65094,3973.11094
Djibouti,DJI,7.06259,7.37259,7.68259,7.99259,8.29259,8.59259,8.90259,9.23259,9.55259,9.87259,10.21259,10.58259,10.98259,11.40259,11.81259,12.22259,12.63259,13.09259,13.59259,14.05259,14.57259,15.04259,15.56259,16.17259,16.89259,17.62259,18.37259
Dominica,DMA,0.9967,1.0567,1.1167,1.1767,1.2467,1.3267,1.3967,1.4767,1.5567,1.6367,1.7367,1.8467,1.9467,2.0667,2.1767,2.2967,2.4067,2.5567,2.6867,2.8167,2.9567,3.0867,3.2267,3.3567,3.4967,3.6367,3.7767
Dominican Republic,DOM,166.93334,176.97334,187.89334,199.64334,212.10334,227.97334,245.28334,263.27334,281.65334,300.20334,319.97334,339.77334,361.08334,382.58334,400.87334,419.49334,439.26334,460.42334,481.11334,501.32334,522.33334,543.54334,565.64334,587.06334,608.58334,630.73334,653.30334
Ecuador,ECU,318.9077,335.3877,357.6477,381.8377,395.4777,418.2977,442.4677,460.8177,483.2577,504.7377,525.4377,548.5377,573.4677,600.4177,629.4377,659.6777,688.5177,720.3777,754.2177,790.2577,826.6877,865.2677,903.3777,944.3377,988.2177,1030.8577,1071.2377
Egypt,EGY,1407.64064,1486.29064,1567.49064,1660.57064,1745.81064,1841.46064,1943.41064,2051.52064,2173.66064,2298.95064,2440.16064,2565.51064,2692.60064,2840.44064,2991.23064,3158.30064,3336.74064,3525.68064,3724.10064,3930.67064,4133.22064,4350.21064,4567.10064,4780.34064,4982.07064,5189.25064,5405.43064
El Salvador,SLV,57.98535,61.15535,64.47535,68.26535,72.85535,77.87535,82.44535,87.91535,93.72535,99.41535,105.15535,111.09535,117.12535,123.67535,130.03535,136.48535,143.32535,150.29535,156.83535,163.27535,169.72535,176.36535,183.02535,189.25535,195.53535,202.06535,208.68535
Equatorial Guinea,GNQ,2.03754,2.17754,2.33754,2.43754,2.46754,2.59754,2.70754,2.99754,3.15754,3.62754,4.07754,7.16754,12.14754,18.15754,23.36754,28.07754,32.82754,37.61754,42.11754,46.73754,51.41754,57.53754,62.64754,67.80754,73.14754,79.09754,84.91754
Eritrea,ERI,0.06973,0.06973,0.06973,0.06973,0.92973,1.85973,2.86973,3.72973,4.31973,4.93973,5.54973,6.17973,6.77973,7.50973,8.27973,9.04973,9.60973,10.18973,10.59973,11.10973,11.61973,12.20973,12.86973,13.53973,14.23973,14.93973,15.65973
Estonia,EST,646.60461,680.64461,705.15461,724.22461,744.12461,762.32461,781.25461,799.73461,816.64461,832.37461,847.73461,863.44461,878.67461,895.76461,913.05461,930.19461,946.63461,966.70461,984.57461,999.18461,1018.20461,1037.30461,1055.24461,1074.94461,1093.85461,1109.74461,1125.78461
Ethiopia,ETH,48.87702,51.85702,54.81702,57.84702,60.08702,62.64702,65.50702,68.55702,71.77702,74.92702,78.47702,82.82702,87.34702,92.32702,97.61702,102.72702,108.22702,114.23702,120.80702,127.42702,134.00702,141.72702,150.28702,160.91702,172.50702,184.11702,195.96702
Faeroe Islands,FRO,11.10299,11.77299,12.42299,13.00299,13.58299,14.15299,14.75299,15.34299,15.96299,16.59299,17.28299,18.04299,18.77299,19.50299,20.25299,20.97299,21.65299,22.34299,22.97299,23.55299,24.18299,24.75299,25.34299,26.02299,26.62299,27.24299,27.88299
Falkland Islands,FLK,3.59267,3.63267,3.67267,3.71267,3.75267,3.79267,3.83267,3.88267,3.92267,3.96267,4.00267,4.04267,4.08267,4.13267,4.18267,4.23267,4.29267,4.35267,4.41267,4.47267,4.52267,4.57267,4.62267,4.67267,4.72267,4.78267,4.84267
Fiji,FJI,18.78598,19.45598,20.20598,20.95598,21.70598,22.46598,23.28598,24.07598,24.84598,25.62598,26.46598,27.52598,28.41598,29.46598,30.81598,31.91598,33.13598,34.29598,35.18598,35.97598,37.19598,38.28598,39.34598,40.49598,41.66598,42.91598,44.21598
Finland,FIN,1493.77901,1548.98901,1603.24901,1659.57901,1721.26901,1779.38901,1843.42901,1906.12901,1965.48901,2024.36901,2081.39901,2143.91901,2208.95901,2281.59901,2350.55901,2407.58901,2475.94901,2542.68901,2601.28901,2657.09901,2721.10901,2777.64901,2828.75901,2880.66901,2928.42901,2972.80901,3018.20901
France,FRA,26924.12457,27348.32457,27762.05457,28154.95457,28546.89457,28944.72457,29356.36457,29761.08457,30186.78457,30603.40457,31018.09457,31433.61457,31845.38457,32264.12457,32685.09457,33109.40457,33521.83457,33924.89457,34321.27457,34699.60457,35087.66457,35449.97457,35812.34457,36174.24457,36505.97457,36842.63457,37186.08457
