Jordan,JOR,31,36,2.921791718,3.03886889,3.209444026,2.948961557,2.860523571,3.058367062,2.898831801,3.002514727
Kazakhstan,KAZ,48,68,..,7.934854181,13.25676292,15.22798733,15.64629686,14.46941789,15.42931652,14.36316974
Kenya,KEN,1,38,0.248827871,0.331249189,0.306941208,0.294423102,0.316754325,0.286745421,0.297438082,0.310415314
Kiribati,KIR,1.4167,173,0.303844667,0.34755823,0.401091799,0.607284807,0.595656245,0.584722313,0.574367715,0.564368357
"Korea, Dem. People’s Rep.",PRK,40,127,..,3.038151299,2.889167205,2.702279506,1.942943694,1.973809403,1.441206059,1.613596841
"Korea, Rep.",KOR,37,127.5,5.760374252,9.52093176,10.32010949,11.43631663,11.80296873,11.63282456,11.74920084,11.57034541
Kuwait,KWT,29.3375,47.6581,24.2904704,26.11748729,30.97049493,29.89415136,28.52652872,30.13791232,27.33039211,25.22386443
Kyrgyz Republic,KGZ,41,75,..,0.946245305,1.261546635,1.171873015,1.388440866,1.806948388,1.720789566,1.646395339
Lao PDR,LAO,18,105,0.049944205,0.176149081,0.204449551,0.262420284,0.256490777,0.264657252,0.242789462,0.297200884
Latvia,LVA,57,25,..,2.682622965,3.376490018,3.849593455,3.541113332,3.471747548,3.518240904,3.498192882
Lebanon,LBN,33.8333,35.8333,3.038857336,4.712723692,4.989669044,4.622282052,4.455511197,4.603511835,4.279937348,4.295732552
Lesotho,LSO,-29.5,28.5,0.919071685,0.99097554,1.098714893,1.115976518,1.129856804,1.151021471,1.149963563,1.150111032
Liberia,LBR,6.5,-9.5,0.225555876,0.1461958,0.13565347,0.200619788,0.218929838,0.245544549,0.223290253,0.212967664
Libya,LBY,25,17,8.290020355,8.796827186,9.472052766,10.04374986,6.410366124,8.499773485,9.081136287,9.186845393
Liechtenstein,LIE,47.1667,9.5333,..,..,1.435385562,1.527789351,1.314554379,1.304446573,1.393766629,1.185229079
Lithuania,LTU,56,24,..,3.475729068,3.958100057,4.348616303,4.553301311,4.629509672,4.273657237,4.378090123
Luxembourg,LUX,49.75,6.1667,26.19765877,18.88551226,20.87712517,21.6351358,21.10296963,20.08421949,18.49831971,17.36212137
"Macao SAR, China",MAC,22.1667,113.55,3.006655327,3.812838948,3.944039078,2.622363675,2.636261714,2.333713164,2.05052089,2.17984276
Madagascar,MDG,-20,47,0.081884908,0.118846962,0.086107763,0.09257807,0.107595267,0.121103401,0.135748886,0.130421321
Malawi,MWI,-13.5,34,0.079265038,0.076394678,0.064295725,0.075433298,0.075556876,0.06811283,0.073883522,0.07476291
Malaysia,MYS,2.5,112.5,3.137365778,5.422937194,7.20424991,7.771554746,7.697015882,7.497558969,7.961513999,8.032991579
Maldives,MDV,3.25,73,0.772121049,1.608654559,2.492932319,2.56531353,2.629542746,2.876986973,2.749809385,3.26955985
Mali,MLI,17,-4,0.049816377,0.074893437,0.055231208,0.063974498,0.067247651,0.062083931,0.062311648,0.083228663
Malta,MLT,35.8333,14.5833,6.098379309,5.292462963,5.814186003,6.174949579,6.104795468,6.38190073,5.49231748,5.400613957
Marshall Islands,MHL,9,168,1.007886169,1.476389501,1.962461774,1.958531235,1.954169997,1.949680041,1.944879056,1.941018564
Mauritania,MRT,20,-12,0.446151004,0.433106133,0.605538678,0.61971003,0.644099587,0.693144214,0.676497971,0.666822428
Mauritius,MUS,-20.2833,57.55,1.381911171,2.267789393,2.97492202,3.132082534,3.129998786,3.15928885,3.233909584,3.353110472
Mexico,MEX,23,-102,3.730500739,3.916478182,4.120600766,3.957657664,4.067755192,4.107686314,4.001602493,3.866241113
"Micronesia, Fed. Sts.",FSM,6.9167,158.25,..,1.160529451,1.552020008,1.097098904,1.169550006,1.310870216,1.379076585,1.445435754
Moldova,MDA,47,29,..,0.965214233,1.276290637,1.384630177,1.415302757,1.383552384,1.404532331,1.386829142
Mongolia,MNG,46,105,4.573372189,3.130990358,4.9103343,5.094989402,7.785441402,9.319217433,13.50693996,7.127326348
Montenegro,MNE,42,19,..,..,2.953556075,4.167664361,4.145547583,3.763898221,3.61855388,3.55607179
Morocco,MAR,32,-5,0.946260352,1.175234919,1.640583713,1.726598065,1.755558226,1.881915344,1.746728972,1.744379974
Mozambique,MOZ,-18.25,35,0.077228269,0.074688918,0.107559226,0.112940682,0.129247057,0.121535416,0.152038112,0.309666607
Myanmar,MMR,22,98,0.105245303,0.218848376,0.205437515,0.249531401,0.282824446,0.217129435,0.249963458,0.416600362
Namibia,NAM,-22,17,0.02851292,0.864978252,1.436229083,1.427537652,1.277711305,1.495026357,1.134995165,1.583728667
Nauru,NRU,-0.5333,166.9167,13.61856909,8.403008867,4.056008044,4.389426434,4.010838222,3.924214418,4.066537289,4.021851008
Nepal,NPL,28,84,0.033835259,0.129282276,0.162087331,0.187128275,0.202491061,0.211798007,0.237169787,0.283538526
Netherlands,NLD,52.5,5.75,10.59447501,10.89472628,10.42752306,11.01707086,10.4335386,10.16475883,10.31006279,9.920138075
New Caledonia,NCL,-21.5,165.5,9.269474953,10.47321202,12.09163245,14.18347147,14.34505603,14.01671815,16.09223971,16.00593173
